Wage (€),Value (€),Name,Age,Nationality,Overall,Potential,Club,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
26000,7000000,R. Rosales,28,Venezuela,77,77,Málaga CF,2034,76.0,73.0,86.0,79.0,79.0,74.0,78.0,75.0,77.0,51.0,54.0,11.0,12.0,11.0,16.0,8.0,60.0,73.0,73.0,68.0,63.0,66.0,48.0,69.0,78.0,75.0,73.0,80.0,78.0,86.0,76.0,65.0,63.0,54.0,72.0,72.0,74.0,71.0,73.0,182896,72.0,76.0,72.0,73.0,74.0,71.0,74.0,68.0,73.0,77.0,RM RWB RB,72.0,76.0,72.0,73.0,74.0,71.0,74.0,68.0,73.0,77.0,68.0
6000,10500000,Y. Chará,26,Colombia,77,78,CPD Junior Barranquilla,1923,93.0,57.0,93.0,93.0,73.0,74.0,65.0,41.0,79.0,77.0,31.0,13.0,6.0,7.0,10.0,6.0,49.0,42.0,89.0,65.0,63.0,29.0,62.0,77.0,72.0,72.0,70.0,57.0,91.0,76.0,61.0,69.0,72.0,63.0,75.0,56.0,61.0,75.0,70.0,214132,75.0,63.0,56.0,70.0,61.0,75.0,76.0,73.0,76.0,65.0,CAM ST RM,75.0,63.0,56.0,70.0,61.0,75.0,76.0,73.0,76.0,65.0,73.0
20000,9000000,J. Toornstra,28,Netherlands,77,77,Feyenoord,2007,66.0,69.0,67.0,72.0,78.0,78.0,78.0,78.0,75.0,76.0,75.0,14.0,15.0,16.0,6.0,6.0,65.0,40.0,49.0,75.0,77.0,49.0,56.0,74.0,76.0,78.0,82.0,53.0,73.0,92.0,56.0,70.0,79.0,72.0,76.0,59.0,66.0,76.0,75.0,198006,76.0,65.0,59.0,75.0,66.0,76.0,76.0,75.0,75.0,67.0,RW CAM,76.0,65.0,59.0,75.0,66.0,76.0,76.0,75.0,75.0,67.0,75.0
32000,600000,A. Boruc,37,Poland,77,77,Bournemouth,1172,37.0,38.0,40.0,40.0,18.0,65.0,12.0,13.0,14.0,11.0,19.0,77.0,73.0,62.0,77.0,82.0,11.0,25.0,73.0,34.0,15.0,13.0,21.0,17.0,72.0,25.0,21.0,20.0,39.0,31.0,20.0,69.0,40.0,13.0,,,,,,105846,,,,,,,,,,,GK,,,,,,,,,,,
56000,7500000,V. Chiricheş,27,Romania,77,77,Napoli,1869,67.0,76.0,57.0,72.0,66.0,69.0,46.0,46.0,59.0,56.0,25.0,7.0,11.0,10.0,14.0,13.0,73.0,79.0,73.0,70.0,72.0,79.0,51.0,36.0,74.0,68.0,82.0,78.0,68.0,69.0,82.0,74.0,46.0,70.0,60.0,76.0,73.0,61.0,64.0,205943,60.0,72.0,76.0,64.0,73.0,61.0,60.0,64.0,59.0,70.0,CB,60.0,72.0,76.0,64.0,73.0,61.0,60.0,64.0,59.0,70.0,64.0
27000,10500000,S. Hanni,26,Algeria,77,78,RSC Anderlecht,1919,76.0,53.0,77.0,75.0,76.0,76.0,74.0,71.0,79.0,74.0,70.0,6.0,16.0,8.0,7.0,6.0,57.0,51.0,34.0,69.0,75.0,30.0,67.0,75.0,75.0,75.0,76.0,45.0,74.0,80.0,54.0,65.0,79.0,70.0,76.0,53.0,62.0,76.0,73.0,188536,76.0,62.0,53.0,73.0,62.0,76.0,76.0,73.0,76.0,65.0,CAM LM,76.0,62.0,53.0,73.0,62.0,76.0,76.0,73.0,76.0,65.0,73.0
43000,11500000,D. Rolán,24,Uruguay,77,80,Málaga CF,1876,73.0,62.0,75.0,69.0,76.0,72.0,73.0,68.0,79.0,79.0,70.0,14.0,7.0,7.0,7.0,14.0,68.0,24.0,72.0,62.0,65.0,33.0,75.0,82.0,78.0,76.0,75.0,18.0,77.0,67.0,27.0,63.0,74.0,67.0,76.0,46.0,53.0,77.0,69.0,213114,76.0,52.0,46.0,69.0,53.0,77.0,76.0,76.0,76.0,55.0,LW ST,76.0,52.0,46.0,69.0,53.0,77.0,76.0,76.0,76.0,55.0,76.0
36000,8000000,M. Ryan,25,Australia,77,80,Brighton & Hove Albion,1341,53.0,36.0,53.0,50.0,24.0,56.0,23.0,23.0,13.0,11.0,12.0,76.0,74.0,90.0,74.0,78.0,14.0,23.0,78.0,45.0,18.0,16.0,25.0,10.0,73.0,40.0,35.0,17.0,52.0,34.0,20.0,68.0,68.0,15.0,,,,,,199005,,,,,,,,,,,GK,,,,,,,,,,,
28000,6000000,O. Kıvrak,29,Turkey,77,77,Trabzonspor,1304,60.0,30.0,67.0,63.0,26.0,60.0,13.0,11.0,25.0,10.0,11.0,77.0,74.0,67.0,74.0,82.0,14.0,25.0,80.0,40.0,12.0,18.0,19.0,12.0,76.0,38.0,23.0,16.0,60.0,40.0,13.0,68.0,50.0,10.0,,,,,,186953,,,,,,,,,,,GK,,,,,,,,,,,
97000,8500000,T. Rincón,29,Venezuela,77,77,Torino,2062,76.0,82.0,75.0,83.0,77.0,74.0,69.0,52.0,76.0,45.0,52.0,12.0,12.0,11.0,8.0,12.0,58.0,80.0,91.0,77.0,70.0,74.0,46.0,66.0,76.0,79.0,77.0,78.0,72.0,87.0,82.0,75.0,72.0,60.0,73.0,77.0,79.0,71.0,76.0,191053,73.0,77.0,77.0,76.0,79.0,71.0,73.0,67.0,71.0,77.0,CDM CM,73.0,77.0,77.0,76.0,79.0,71.0,73.0,67.0,71.0,77.0,67.0
27000,4500000,D. Benaglio,33,Switzerland,77,77,AS Monaco,1195,42.0,38.0,44.0,47.0,22.0,65.0,14.0,15.0,16.0,12.0,13.0,76.0,80.0,61.0,79.0,73.0,15.0,22.0,71.0,31.0,14.0,10.0,23.0,7.0,77.0,32.0,22.0,14.0,44.0,43.0,13.0,76.0,37.0,12.0,,,,,,115533,,,,,,,,,,,GK,,,,,,,,,,,
11000,14000000,A. Živković,20,Serbia,77,86,SL Benfica,1848,87.0,52.0,87.0,88.0,78.0,68.0,76.0,82.0,80.0,67.0,65.0,9.0,11.0,8.0,6.0,6.0,43.0,33.0,57.0,66.0,70.0,28.0,60.0,72.0,77.0,74.0,73.0,28.0,84.0,66.0,34.0,39.0,74.0,68.0,76.0,43.0,54.0,75.0,69.0,220746,76.0,55.0,43.0,69.0,54.0,75.0,76.0,69.0,77.0,59.0,LM RM,76.0,55.0,43.0,69.0,54.0,75.0,76.0,69.0,77.0,59.0,69.0
24000,5500000,A. Belenov,30,Russia,77,77,FC Ufa,1133,54.0,35.0,44.0,28.0,14.0,56.0,11.0,12.0,14.0,11.0,13.0,75.0,69.0,71.0,78.0,82.0,11.0,21.0,71.0,23.0,15.0,18.0,19.0,17.0,,16.0,17.0,11.0,47.0,34.0,14.0,62.0,37.0,15.0,,,,,,154954,,,,,,,,,,,GK,,,,,,,,,,,
59000,11000000,Badou Ndiaye,26,Senegal,77,80,Galatasaray SK,2069,86.0,69.0,79.0,77.0,78.0,69.0,71.0,78.0,79.0,74.0,65.0,7.0,12.0,11.0,7.0,10.0,59.0,60.0,72.0,71.0,73.0,60.0,65.0,78.0,74.0,76.0,78.0,61.0,85.0,80.0,65.0,75.0,69.0,65.0,76.0,66.0,69.0,77.0,74.0,221000,76.0,70.0,66.0,74.0,69.0,77.0,77.0,75.0,77.0,71.0,CDM CM CAM,76.0,70.0,66.0,74.0,69.0,77.0,77.0,75.0,77.0,71.0,75.0
29000,6500000,L. Sané,30,Senegal,77,77,SV Werder Bremen,1725,52.0,79.0,54.0,46.0,62.0,69.0,49.0,48.0,61.0,32.0,23.0,7.0,9.0,12.0,6.0,9.0,83.0,74.0,83.0,69.0,55.0,75.0,33.0,42.0,70.0,70.0,69.0,76.0,67.0,68.0,79.0,80.0,61.0,22.0,59.0,76.0,72.0,58.0,64.0,192333,59.0,70.0,76.0,64.0,72.0,58.0,59.0,58.0,56.0,68.0,CB,59.0,70.0,76.0,64.0,72.0,58.0,59.0,58.0,56.0,68.0,58.0
17000,8500000,André Pinto,27,Portugal,77,78,Sporting CP,1638,50.0,79.0,37.0,34.0,61.0,72.0,44.0,35.0,44.0,34.0,50.0,15.0,13.0,6.0,11.0,11.0,78.0,77.0,34.0,58.0,54.0,77.0,46.0,33.0,70.0,66.0,68.0,82.0,50.0,67.0,80.0,91.0,47.0,36.0,52.0,76.0,71.0,51.0,59.0,193862,52.0,69.0,76.0,59.0,71.0,51.0,52.0,54.0,49.0,66.0,CB,52.0,69.0,76.0,59.0,71.0,51.0,52.0,54.0,49.0,66.0,54.0
41000,10500000,T. Partey,24,Ghana,77,83,Atlético Madrid,1985,75.0,76.0,73.0,55.0,77.0,67.0,58.0,62.0,76.0,60.0,41.0,11.0,13.0,9.0,9.0,7.0,66.0,75.0,82.0,73.0,63.0,65.0,46.0,60.0,74.0,77.0,76.0,76.0,78.0,84.0,81.0,85.0,69.0,53.0,72.0,75.0,76.0,71.0,74.0,209989,72.0,74.0,75.0,74.0,76.0,71.0,72.0,70.0,70.0,74.0,RM CM CDM,72.0,74.0,75.0,74.0,76.0,71.0,72.0,70.0,70.0,74.0,70.0
17000,5500000,K. Huntelaar,33,Netherlands,77,77,Ajax,1784,52.0,69.0,54.0,62.0,75.0,83.0,63.0,73.0,67.0,80.0,64.0,7.0,12.0,6.0,9.0,11.0,78.0,27.0,77.0,44.0,73.0,20.0,56.0,80.0,78.0,73.0,80.0,23.0,57.0,60.0,33.0,79.0,61.0,81.0,69.0,49.0,51.0,72.0,63.0,148803,69.0,48.0,49.0,63.0,51.0,72.0,67.0,75.0,69.0,51.0,ST,69.0,48.0,49.0,63.0,51.0,72.0,67.0,75.0,69.0,51.0,75.0
41000,10500000,Y. Ōsako,27,Japan,77,78,1. FC Köln,1898,77.0,65.0,80.0,78.0,80.0,77.0,42.0,72.0,80.0,72.0,53.0,14.0,9.0,6.0,6.0,16.0,70.0,31.0,78.0,59.0,69.0,28.0,70.0,79.0,78.0,79.0,75.0,32.0,76.0,68.0,39.0,64.0,79.0,74.0,77.0,51.0,57.0,77.0,71.0,191565,77.0,53.0,51.0,71.0,57.0,77.0,73.0,75.0,75.0,56.0,CAM ST CF,77.0,53.0,51.0,71.0,57.0,77.0,73.0,75.0,75.0,56.0,75.0
27000,3600000,G. İnler,33,Switzerland,77,77,İstanbul Başakşehir FK,2012,52.0,80.0,60.0,59.0,77.0,77.0,70.0,64.0,72.0,56.0,68.0,11.0,14.0,6.0,10.0,5.0,68.0,76.0,73.0,81.0,81.0,70.0,74.0,61.0,70.0,76.0,85.0,77.0,51.0,65.0,78.0,73.0,73.0,76.0,70.0,74.0,75.0,69.0,74.0,158810,70.0,71.0,74.0,74.0,75.0,69.0,68.0,68.0,68.0,71.0,CDM,70.0,71.0,74.0,74.0,75.0,69.0,68.0,68.0,68.0,71.0,68.0
14000,12000000,J. Quintero,24,Colombia,77,82,Independiente Medellín,1840,76.0,43.0,90.0,90.0,83.0,74.0,75.0,80.0,84.0,64.0,77.0,14.0,16.0,10.0,7.0,12.0,42.0,35.0,56.0,75.0,73.0,18.0,71.0,62.0,74.0,78.0,83.0,22.0,72.0,47.0,30.0,39.0,77.0,65.0,76.0,40.0,53.0,74.0,70.0,210513,76.0,50.0,40.0,70.0,53.0,74.0,75.0,68.0,76.0,55.0,CAM,76.0,50.0,40.0,70.0,53.0,74.0,75.0,68.0,76.0,55.0,68.0
8000,8000000,L. Dalsaro,25,Chile,77,77,Colo-Colo,2009,72.0,77.0,51.0,55.0,71.0,67.0,71.0,81.0,72.0,56.0,77.0,11.0,15.0,8.0,7.0,7.0,62.0,76.0,61.0,77.0,72.0,77.0,67.0,52.0,81.0,75.0,73.0,76.0,72.0,76.0,76.0,88.0,72.0,45.0,70.0,75.0,76.0,68.0,73.0,160087,70.0,75.0,75.0,73.0,76.0,68.0,71.0,67.0,69.0,75.0,CM CDM,70.0,75.0,75.0,73.0,76.0,68.0,71.0,67.0,69.0,75.0,67.0
69000,11500000,J. King,25,Norway,77,81,Bournemouth,1828,87.0,50.0,78.0,71.0,74.0,72.0,63.0,69.0,77.0,82.0,42.0,12.0,9.0,11.0,12.0,7.0,63.0,33.0,72.0,48.0,69.0,22.0,72.0,77.0,72.0,68.0,78.0,19.0,92.0,73.0,26.0,77.0,56.0,67.0,71.0,45.0,50.0,75.0,63.0,185422,71.0,52.0,45.0,63.0,50.0,75.0,73.0,76.0,75.0,55.0,CAM CF ST,71.0,52.0,45.0,63.0,50.0,75.0,73.0,76.0,75.0,55.0,76.0
9000,4300000,K. Källström,34,Sweden,77,77,Djurgårdens IF,2005,35.0,75.0,53.0,64.0,81.0,75.0,83.0,85.0,70.0,62.0,80.0,9.0,10.0,7.0,15.0,12.0,62.0,70.0,76.0,85.0,75.0,58.0,70.0,65.0,76.0,80.0,84.0,63.0,37.0,62.0,62.0,78.0,82.0,79.0,72.0,67.0,73.0,70.0,76.0,31831,72.0,65.0,67.0,76.0,73.0,70.0,70.0,68.0,69.0,67.0,CM,72.0,65.0,67.0,76.0,73.0,70.0,70.0,68.0,69.0,67.0,68.0
32000,7000000,T. Vaclík,28,Czech Republic,77,78,FC Basel,1206,34.0,29.0,32.0,53.0,20.0,60.0,15.0,17.0,14.0,14.0,16.0,79.0,75.0,74.0,77.0,80.0,19.0,22.0,70.0,38.0,16.0,19.0,13.0,15.0,68.0,17.0,20.0,18.0,35.0,35.0,18.0,73.0,68.0,13.0,,,,,,204120,,,,,,,,,,,GK,,,,,,,,,,,
14000,6500000,N. Viergever,27,Netherlands,76,76,Ajax,1846,67.0,81.0,65.0,67.0,67.0,68.0,66.0,45.0,63.0,42.0,36.0,8.0,9.0,11.0,7.0,11.0,72.0,77.0,76.0,69.0,48.0,75.0,48.0,55.0,72.0,67.0,64.0,78.0,73.0,86.0,76.0,74.0,50.0,41.0,61.0,75.0,73.0,61.0,65.0,193440,61.0,74.0,75.0,65.0,73.0,61.0,64.0,61.0,62.0,73.0,LB CB,61.0,74.0,75.0,65.0,73.0,61.0,64.0,61.0,62.0,73.0,61.0
53000,5500000,P. Aguilar,30,Paraguay,76,76,Club América,1782,67.0,90.0,60.0,63.0,62.0,71.0,40.0,48.0,50.0,50.0,35.0,15.0,12.0,13.0,9.0,6.0,81.0,80.0,92.0,62.0,49.0,68.0,51.0,28.0,69.0,58.0,64.0,72.0,64.0,64.0,74.0,80.0,56.0,50.0,55.0,75.0,69.0,55.0,59.0,182941,55.0,67.0,75.0,59.0,69.0,55.0,55.0,58.0,54.0,64.0,CB,55.0,67.0,75.0,59.0,69.0,55.0,55.0,58.0,54.0,64.0,58.0
53000,4400000,S. Brown,32,Scotland,76,76,Celtic,2005,68.0,88.0,80.0,73.0,71.0,85.0,64.0,68.0,69.0,52.0,53.0,7.0,7.0,14.0,15.0,14.0,46.0,75.0,79.0,71.0,62.0,70.0,76.0,61.0,79.0,81.0,70.0,64.0,71.0,87.0,75.0,77.0,63.0,55.0,69.0,72.0,75.0,67.0,72.0,134820,69.0,72.0,72.0,72.0,75.0,67.0,70.0,64.0,68.0,73.0,CDM,69.0,72.0,72.0,72.0,75.0,67.0,70.0,64.0,68.0,73.0,64.0
68000,7000000,J. Morrison,31,Scotland,76,76,West Bromwich Albion,2007,66.0,69.0,76.0,77.0,77.0,74.0,83.0,64.0,78.0,72.0,63.0,11.0,6.0,11.0,16.0,10.0,54.0,59.0,51.0,73.0,78.0,55.0,69.0,73.0,75.0,78.0,80.0,64.0,65.0,76.0,60.0,61.0,74.0,83.0,75.0,62.0,68.0,74.0,74.0,162981,75.0,67.0,62.0,74.0,68.0,74.0,75.0,72.0,75.0,70.0,CM CAM,75.0,67.0,62.0,74.0,68.0,74.0,75.0,72.0,75.0,70.0,72.0
27000,5000000,A. Sulu,31,Turkey,76,76,SV Darmstadt 98,1752,68.0,85.0,65.0,73.0,65.0,74.0,33.0,36.0,51.0,44.0,39.0,7.0,6.0,8.0,15.0,12.0,82.0,72.0,90.0,63.0,32.0,72.0,63.0,47.0,69.0,55.0,58.0,75.0,73.0,72.0,77.0,78.0,31.0,36.0,53.0,75.0,68.0,54.0,57.0,223142,53.0,68.0,75.0,57.0,68.0,54.0,55.0,58.0,53.0,65.0,CB,53.0,68.0,75.0,57.0,68.0,54.0,55.0,58.0,53.0,65.0,58.0
84000,10000000,L. Marković,23,Serbia,76,80,Liverpool,1877,89.0,41.0,88.0,79.0,81.0,76.0,68.0,79.0,83.0,66.0,62.0,8.0,9.0,15.0,6.0,7.0,58.0,49.0,66.0,57.0,60.0,32.0,70.0,73.0,73.0,71.0,65.0,37.0,91.0,61.0,39.0,55.0,71.0,68.0,75.0,50.0,56.0,75.0,68.0,212125,75.0,59.0,50.0,68.0,56.0,75.0,75.0,71.0,76.0,61.0,CF RM,75.0,59.0,50.0,68.0,56.0,75.0,75.0,71.0,76.0,61.0,71.0
55000,9500000,R. Brady,25,Republic of Ireland,76,79,Burnley,2083,83.0,58.0,77.0,78.0,75.0,73.0,80.0,81.0,76.0,68.0,79.0,12.0,8.0,13.0,7.0,7.0,59.0,66.0,75.0,75.0,74.0,62.0,72.0,72.0,74.0,71.0,77.0,71.0,79.0,76.0,68.0,69.0,75.0,66.0,74.0,67.0,70.0,74.0,73.0,201884,74.0,72.0,67.0,73.0,70.0,74.0,75.0,72.0,75.0,73.0,LB LM,74.0,72.0,67.0,73.0,70.0,74.0,75.0,72.0,75.0,73.0,72.0
59000,6000000,N. Tomović,29,Serbia,76,76,Chievo Verona,1777,69.0,80.0,66.0,66.0,68.0,67.0,70.0,31.0,62.0,22.0,37.0,8.0,12.0,15.0,12.0,5.0,68.0,76.0,74.0,66.0,41.0,76.0,41.0,56.0,70.0,64.0,70.0,80.0,71.0,72.0,80.0,78.0,46.0,25.0,58.0,75.0,72.0,58.0,62.0,194203,58.0,73.0,75.0,62.0,72.0,58.0,62.0,57.0,59.0,72.0,RB CB,58.0,73.0,75.0,62.0,72.0,58.0,62.0,57.0,59.0,72.0,57.0
25000,7500000,B. Espinosa,27,Colombia,76,77,Girona CF,1694,51.0,79.0,53.0,42.0,63.0,70.0,51.0,51.0,40.0,39.0,42.0,11.0,15.0,12.0,9.0,12.0,77.0,74.0,75.0,61.0,42.0,75.0,52.0,33.0,62.0,73.0,56.0,73.0,57.0,60.0,77.0,84.0,49.0,44.0,53.0,75.0,70.0,51.0,59.0,186521,53.0,67.0,75.0,59.0,70.0,51.0,53.0,54.0,51.0,65.0,CB,53.0,67.0,75.0,59.0,70.0,51.0,53.0,54.0,51.0,65.0,54.0
63000,6000000,M. Isla,29,Chile,76,76,Fenerbahçe SK,2040,80.0,76.0,85.0,78.0,75.0,74.0,80.0,80.0,76.0,50.0,64.0,7.0,8.0,7.0,7.0,7.0,52.0,75.0,61.0,74.0,67.0,71.0,71.0,72.0,74.0,75.0,65.0,76.0,75.0,84.0,72.0,68.0,70.0,58.0,72.0,71.0,74.0,70.0,74.0,187800,72.0,75.0,71.0,74.0,74.0,70.0,74.0,66.0,73.0,76.0,CM RB,72.0,75.0,71.0,74.0,74.0,70.0,74.0,66.0,73.0,76.0,66.0
47000,10500000,A. Duncan,24,Ghana,76,82,Sassuolo,2030,73.0,86.0,73.0,70.0,77.0,74.0,73.0,64.0,71.0,50.0,50.0,9.0,8.0,8.0,6.0,8.0,68.0,78.0,78.0,74.0,75.0,68.0,44.0,68.0,77.0,79.0,84.0,74.0,76.0,83.0,79.0,74.0,67.0,58.0,72.0,75.0,77.0,71.0,75.0,208535,72.0,76.0,75.0,75.0,77.0,71.0,73.0,70.0,71.0,76.0,CM,72.0,76.0,75.0,75.0,77.0,71.0,73.0,70.0,71.0,76.0,70.0
51000,7500000,R. Saïss,27,Morocco,76,78,Wolverhampton Wanderers,1873,64.0,78.0,69.0,68.0,73.0,78.0,53.0,56.0,67.0,51.0,43.0,10.0,16.0,6.0,11.0,7.0,73.0,80.0,65.0,77.0,58.0,77.0,47.0,46.0,73.0,73.0,63.0,63.0,69.0,76.0,74.0,72.0,68.0,47.0,66.0,74.0,75.0,64.0,70.0,208295,66.0,71.0,74.0,70.0,75.0,64.0,66.0,63.0,64.0,70.0,CB CM CDM,66.0,71.0,74.0,70.0,75.0,64.0,66.0,63.0,64.0,70.0,63.0
12000,11500000,D. van de Beek,20,Netherlands,76,84,Ajax,1984,66.0,68.0,71.0,58.0,79.0,78.0,67.0,66.0,73.0,67.0,62.0,7.0,12.0,8.0,10.0,14.0,59.0,74.0,70.0,76.0,80.0,56.0,55.0,65.0,72.0,76.0,79.0,52.0,65.0,84.0,62.0,76.0,79.0,76.0,74.0,65.0,71.0,72.0,75.0,221363,74.0,67.0,65.0,75.0,71.0,72.0,73.0,70.0,72.0,69.0,CDM CM,74.0,67.0,65.0,75.0,71.0,72.0,73.0,70.0,72.0,69.0,70.0
52000,8500000,O. Tufan,22,Turkey,76,80,Fenerbahçe SK,2042,,78.0,76.0,69.0,76.0,76.0,68.0,67.0,,62.0,65.0,6.0,14.0,8.0,7.0,15.0,70.0,76.0,68.0,76.0,75.0,73.0,53.0,74.0,,76.0,80.0,71.0,,81.0,75.0,75.0,,55.0,72.0,74.0,75.0,72.0,74.0,223154,72.0,73.0,74.0,74.0,75.0,72.0,72.0,71.0,71.0,74.0,CM CDM,72.0,73.0,74.0,74.0,75.0,72.0,72.0,71.0,71.0,74.0,71.0
30000,11000000,E. Gutiérrez,22,Mexico,76,84,Pachuca,1993,78.0,60.0,69.0,73.0,77.0,76.0,69.0,73.0,74.0,68.0,51.0,7.0,14.0,10.0,8.0,16.0,52.0,77.0,53.0,76.0,74.0,67.0,67.0,67.0,68.0,79.0,77.0,57.0,77.0,83.0,69.0,62.0,76.0,65.0,74.0,66.0,73.0,73.0,75.0,220854,74.0,71.0,66.0,75.0,73.0,73.0,74.0,70.0,73.0,73.0,CM,74.0,71.0,66.0,75.0,73.0,73.0,74.0,70.0,73.0,73.0,70.0
33000,6000000,O. Murillo,29,Colombia,76,76,Pachuca,1665,66.0,79.0,53.0,51.0,56.0,48.0,59.0,35.0,46.0,42.0,27.0,13.0,11.0,10.0,16.0,14.0,75.0,79.0,85.0,65.0,35.0,80.0,32.0,29.0,70.0,61.0,43.0,68.0,73.0,66.0,77.0,83.0,44.0,22.0,52.0,75.0,69.0,51.0,57.0,198581,52.0,70.0,75.0,57.0,69.0,51.0,55.0,53.0,52.0,67.0,CB,52.0,70.0,75.0,57.0,69.0,51.0,55.0,53.0,52.0,67.0,53.0
13000,6000000,M. Pazdan,29,Poland,76,76,Legia Warszawa,1801,56.0,92.0,63.0,69.0,63.0,69.0,53.0,48.0,49.0,35.0,41.0,15.0,13.0,6.0,16.0,12.0,70.0,74.0,93.0,64.0,55.0,80.0,31.0,45.0,73.0,66.0,64.0,72.0,50.0,74.0,73.0,80.0,65.0,41.0,58.0,75.0,72.0,56.0,63.0,185010,58.0,68.0,75.0,63.0,72.0,56.0,57.0,56.0,55.0,67.0,CB,58.0,68.0,75.0,63.0,72.0,56.0,57.0,56.0,55.0,67.0,56.0
58000,11000000,Y. Poulsen,23,Denmark,76,83,RB Leipzig,1873,85.0,83.0,75.0,55.0,73.0,67.0,66.0,70.0,76.0,68.0,43.0,6.0,11.0,15.0,14.0,8.0,78.0,44.0,82.0,46.0,58.0,22.0,59.0,76.0,77.0,71.0,69.0,28.0,86.0,85.0,37.0,78.0,61.0,68.0,71.0,54.0,56.0,73.0,65.0,207791,71.0,57.0,54.0,65.0,56.0,73.0,73.0,74.0,73.0,60.0,ST,71.0,57.0,54.0,65.0,56.0,73.0,73.0,74.0,73.0,60.0,74.0
24000,10000000,O. Romero,24,Paraguay,76,79,Deportivo Alavés,1852,79.0,50.0,79.0,85.0,78.0,69.0,69.0,76.0,80.0,76.0,62.0,8.0,7.0,14.0,14.0,10.0,52.0,39.0,59.0,75.0,75.0,23.0,65.0,68.0,69.0,76.0,73.0,25.0,78.0,74.0,24.0,62.0,75.0,53.0,76.0,43.0,55.0,75.0,71.0,220334,76.0,53.0,43.0,71.0,55.0,75.0,75.0,71.0,75.0,57.0,LM CAM RM,76.0,53.0,43.0,71.0,55.0,75.0,75.0,71.0,75.0,57.0,71.0
21000,11000000,L. Andersen,22,Denmark,76,83,Grasshopper Club Zürich,1808,79.0,24.0,90.0,68.0,82.0,68.0,66.0,76.0,84.0,65.0,60.0,14.0,8.0,8.0,15.0,6.0,53.0,50.0,55.0,68.0,70.0,35.0,50.0,68.0,64.0,75.0,71.0,23.0,83.0,71.0,28.0,59.0,75.0,65.0,75.0,45.0,55.0,74.0,70.0,203903,75.0,55.0,45.0,70.0,55.0,74.0,75.0,70.0,75.0,59.0,RM LM CAM,75.0,55.0,45.0,70.0,55.0,74.0,75.0,70.0,75.0,59.0,70.0
35000,14000000,B. Embolo,20,Switzerland,76,88,FC Schalke 04,1871,79.0,63.0,77.0,73.0,81.0,76.0,59.0,65.0,78.0,74.0,51.0,13.0,6.0,7.0,7.0,12.0,68.0,41.0,73.0,70.0,61.0,24.0,66.0,78.0,73.0,72.0,75.0,22.0,83.0,76.0,28.0,83.0,69.0,64.0,75.0,50.0,56.0,76.0,70.0,222357,75.0,53.0,50.0,70.0,56.0,76.0,74.0,75.0,75.0,57.0,RW ST,75.0,53.0,50.0,70.0,56.0,76.0,74.0,75.0,75.0,57.0,75.0
1000,6000000,J. Vuković,29,Serbia,76,76,Olympiakos CFP,1638,32.0,79.0,34.0,31.0,53.0,68.0,56.0,38.0,44.0,27.0,58.0,13.0,15.0,7.0,14.0,14.0,80.0,76.0,78.0,61.0,70.0,76.0,44.0,32.0,70.0,63.0,74.0,71.0,34.0,64.0,78.0,90.0,45.0,17.0,49.0,75.0,69.0,48.0,57.0,194947,49.0,65.0,75.0,57.0,69.0,48.0,49.0,51.0,46.0,63.0,CB,49.0,65.0,75.0,57.0,69.0,48.0,49.0,51.0,46.0,63.0,51.0
60000,7000000,J. Błaszczykowski,31,Poland,76,76,VfL Wolfsburg,2027,76.0,62.0,77.0,80.0,77.0,82.0,76.0,75.0,77.0,67.0,67.0,14.0,8.0,9.0,13.0,15.0,48.0,60.0,64.0,68.0,68.0,58.0,70.0,74.0,77.0,77.0,76.0,61.0,76.0,75.0,59.0,72.0,75.0,76.0,75.0,63.0,68.0,74.0,73.0,164994,75.0,68.0,63.0,73.0,68.0,74.0,75.0,71.0,75.0,70.0,RB RM,75.0,68.0,63.0,73.0,68.0,74.0,75.0,71.0,75.0,70.0,71.0
52000,6000000,G. van der Wiel,29,Netherlands,76,76,Cagliari,1990,78.0,75.0,74.0,69.0,76.0,72.0,78.0,55.0,75.0,60.0,22.0,11.0,15.0,7.0,6.0,7.0,69.0,69.0,83.0,71.0,68.0,73.0,43.0,74.0,78.0,75.0,74.0,75.0,79.0,74.0,75.0,74.0,71.0,57.0,73.0,74.0,74.0,73.0,73.0,183937,73.0,75.0,74.0,73.0,74.0,73.0,75.0,72.0,74.0,75.0,RB,73.0,75.0,74.0,73.0,74.0,73.0,75.0,72.0,74.0,75.0,72.0
